id,species,undet,ad_m,ad_f,ad_u,sub_m,sub_f,sub_u,juv_m,juv_f,juv_u,count,distance,angle,odometer,lat,lon,notes
10.1,impala,,1,10,,,,,,,,11,246,27,2.47,-19.103443,23.504316,
10.1,zebra,,1,4,,,,,,,,5,35,70,3.52,-19.098639,23.508523,
10.1,elephant,,1,11,,,,1,,,4,17,25,30,3.64,-19.098608,23.509279,
10.1,impala,,,4,,2,,,,,,6,29,65,5.41,-19.09744,23.524504,
10.1,cape_buffalo,,1,,,,,,,,,1,10,30,7.65,-19.106731,23.539259,
10.1,banded_mon,16,,,,,,,,,,16,16,20,8.51,-19.11163,23.54344,
10.1,impala,,,9,,,,,,,,9,55,30,9.89,-19.111373,23.555086,
10.1,impala,,,5,,,,,,,,5,75,90,10.78,-19.115703,23.561275,
10.1,impala,,1,11,,,,,,,,12,36,0,11.88,-19.116408,23.570101,
10.2,giraffe,1,,,,,,,,,,1,828,20,0.17,-19.120627,23.567987,
10.2,reedbuck,,,1,,,,,,,,1,828,30,0.17,-19.120627,23.567987,
10.2,impala,,1,15,,,,,3,,,19,52,45,0.42,-19.122051,23.56629,
10.2,lion,,2,,,,,,,,,2,26,90,1,-19.120273,23.561744,
10.2,impala,,1,7,,,,,,,,8,65,45,2.67,-19.11424,23.548786,
10.2,tsb,4,,,,,,,,,,4,230,30,2.84,-19.114203,23.547243,
10.2,wildebeest,1,,,,,,,,,,1,169,30,2.84,-19.114203,23.547243,
10.2,hippo,1,,,,,,,,,,1,92,30,2.84,-19.114203,23.547243,
10.2,crocodile,1,,,,,,,,,,1,56,36,2.84,-19.114203,23.547243,
10.2,impala,,3,,,,,,,,,3,89,90,3.55,-19.116103,23.541316,
10.2,warthog,5,,,,,,,,,,5,274,15,3.98,-19.114764,23.537917,
10.2,elephant,,,1,,,1,,,,2,4,204,0,3.98,-19.114764,23.537917,
10.2,elephant,,,2,,1,,1,,,2,6,654,80,3.98,-19.114764,23.537917,
10.2,hippo,25,,,,,,,,,,25,101,45,5.53,-19.11854,23.524906,
10.2,waterbuck,,2,4,,,,,,,,6,173,45,5.53,-19.11854,23.524906,
10.2,elephant,1,,,,,,,,,,1,40,45,5.53,-19.11854,23.524906,
10.2,giraffe,,1,,,,,,,,,1,40,25,5.73,-19.118773,23.522994,
10.2,warthog,2,,,,,,,,,,2,135,30,6.21,-19.118964,23.519041,
10.2,zebra,4,,,,,,,,,,4,125,0,6.21,-19.118964,23.519041,
10.2,impala,,1,18,,,,,,,,19,150,0,6.21,-19.118964,23.519041,
10.2,baboon,14,,,,,,,,,2,16,42,20,6.21,-19.118964,23.519041,
10.2,elephant,5,,,,,,,,,,5,530,30,7.08,-19.117232,23.511989,
